NU_INSCRICAO,NU_ANO,NO_MUNICIPIO_RESIDENCIA,SG_UF_RESIDENCIA,NU_IDADE,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_ST_CONCLUSAO,TP_ANO_CONCLUIU,TP_ESCOLA,TP_PRESENCA_CN,TP_PRESENCA_CH,TP_PRESENCA_LC,TP_PRESENCA_MT,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_COMP1,NU_NOTA_COMP2,NU_NOTA_COMP3,NU_NOTA_COMP4,NU_NOTA_COMP5,NU_NOTA_REDACAO,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023,Q024,Q025
160000427485,2016,Belo Horizonte,MG,23,M,0.0,3,1,6,1,0,0,0,0,"10    524.982679
Name: NU_NOTA_CN, dtype: float64","10    571.270862
Name: NU_NOTA_CH, dtype: float64","10    551.098261
Name: NU_NOTA_LC, dtype: float64","10    555.179099
Name: NU_NOTA_MT, dtype: float64","10    130.365217
Name: NU_NOTA_COMP1, dtype: float64","10    122.956522
Name: NU_NOTA_COMP2, dtype: float64","10    119.965217
Name: NU_NOTA_COMP3, dtype: float64","10    125.947826
Name: NU_NOTA_COMP4, dtype: float64","10    95.513043
Name: NU_NOTA_COMP5, dtype: float64","10    594.747826
Name: NU_NOTA_REDACAO, dtype: float64",E,E,B,A,4,D,A,B,C,B,B,B,A,B,A,B,A,B,D,B,A,E,A,B,A
160000427486,2016,Maceió,AL,19,M,0.0,3,1,1,1,1,1,1,1,660.4,668.8,632.1,674.1,160.0,160.0,160.0,140.0,120.0,740.0,D,E,F,D,4,F,A,B,C,B,A,B,A,B,A,B,A,A,B,A,A,D,B,C,B
160000427487,2016,Duque de Caxias,RJ,20,F,0.0,3,1,4,1,1,1,1,1,662.9,614.6,606.1,704.3,140.0,160.0,160.0,160.0,160.0,780.0,C,H,B,F,4,B,A,C,C,A,A,C,A,B,A,B,A,A,D,A,A,D,B,A,B
160000427488,2016,Porto Nacional,TO,21,M,0.0,4,1,3,1,0,0,0,0,"26    477.409677
Name: NU_NOTA_CN, dtype: float64","26    521.303226
Name: NU_NOTA_CH, dtype: float64","26    510.825806
Name: NU_NOTA_LC, dtype: float64","26    499.054839
Name: NU_NOTA_MT, dtype: float64","26    123.225806
Name: NU_NOTA_COMP1, dtype: float64","26    114.83871
Name: NU_NOTA_COMP2, dtype: float64","26    111.612903
Name: NU_NOTA_COMP3, dtype: float64","26    121.935484
Name: NU_NOTA_COMP4, dtype: float64","26    80.0
Name: NU_NOTA_COMP5, dtype: float64","26    551.612903
Name: NU_NOTA_REDACAO, dtype: float64",H,D,F,B,3,G,A,B,C,A,C,B,B,B,A,A,A,A,B,B,A,D,B,B,A
160000427489,2016,Fortaleza,CE,18,F,0.0,1,3,0,1,1,1,1,1,455.3,445.6,471.0,431.0,120.0,80.0,80.0,120.0,100.0,500.0,A,E,A,C,4,B,A,B,B,B,A,B,A,A,A,A,A,A,B,A,A,B,A,A,B
160000427490,2016,Eusébio,CE,30,F,1.0,4,1,10,1,1,1,1,1,523.9,644.7,608.9,591.3,160.0,120.0,140.0,140.0,60.0,620.0,G,G,E,D,3,B,B,C,C,B,A,B,A,B,A,B,A,A,B,A,A,B,A,A,A
160000427491,2016,Rio de Janeiro,RJ,57,F,3.0,3,1,10,1,0,0,0,0,"18    518.757511
Name: NU_NOTA_CN, dtype: float64","18    567.703719
Name: NU_NOTA_CH, dtype: float64","18    547.459336
Name: NU_NOTA_LC, dtype: float64","18    549.077586
Name: NU_NOTA_MT, dtype: float64","18    127.966805
Name: NU_NOTA_COMP1, dtype: float64","18    120.082988
Name: NU_NOTA_COMP2, dtype: float64","18    116.763485
Name: NU_NOTA_COMP3, dtype: float64","18    124.149378
Name: NU_NOTA_COMP4, dtype: float64","18    91.120332
Name: NU_NOTA_COMP5, dtype: float64","18    580.082988
Name: NU_NOTA_REDACAO, dtype: float64",B,B,B,B,2,C,A,B,B,A,A,B,A,B,A,B,A,A,B,A,B,B,B,B,B
160008576953,2016,Brasília,DF,20,M,0.0,1,1,1,1,1,1,1,1,526.7,543.6,552.6,350.0,100.0,80.0,80.0,120.0,60.0,440.0,E,D,D,F,4,D,B,E,E,C,A,B,B,B,A,B,A,A,D,B,B,E,B,C,B
160000427492,2016,Araraquara,SP,40,M,1.0,1,1,10,1,1,1,0,0,565.0,605.2,"25    550.166152
Name: NU_NOTA_LC, dtype: float64","25    535.553959
Name: NU_NOTA_MT, dtype: float64","25    125.646067
Name: NU_NOTA_COMP1, dtype: float64","25    119.016854
Name: NU_NOTA_COMP2, dtype: float64","25    113.848315
Name: NU_NOTA_COMP3, dtype: float64","25    119.269663
Name: NU_NOTA_COMP4, dtype: float64","25    87.078652
Name: NU_NOTA_COMP5, dtype: float64","25    564.859551
Name: NU_NOTA_REDACAO, dtype: float64",E,E,D,F,5,I,A,C,C,B,A,B,A,B,A,B,A,A,B,A,A,B,B,B,B
160000427493,2016,São Paulo,SP,26,F,0.0,1,1,9,1,1,1,1,1,582.0,706.4,663.1,568.4,160.0,160.0,140.0,140.0,60.0,660.0,H,E,F,F,1,F,A,B,B,A,A,B,B,B,B,B,A,B,B,A,A,B,A,B,B
