NU_INSCRICAO,NU_ANO,NO_MUNICIPIO_RESIDENCIA,SG_UF_RESIDENCIA,NU_IDADE,TP_SEXO,TP_ST_CONCLUSAO,TP_ANO_CONCLUIU,TP_ESCOLA,TP_ESTADO_CIVIL,TP_COR_RACA,TP_PRESENCA_CN,TP_PRESENCA_CH,TP_PRESENCA_LC,TP_PRESENCA_MT,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_COMP1,NU_NOTA_COMP2,NU_NOTA_COMP3,NU_NOTA_COMP4,NU_NOTA_COMP5,NU_NOTA_REDACAO,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023,Q024,Q025,TP_SES_INCOME,TP_SES_POINTS
160000405107.0,2016.0,São Paulo,SP,18.0,F,1.0,1.0,1.0,0.0,3.0,1.0,1.0,1.0,1.0,643.8,651.1,653.5,794.0,160.0,160.0,120.0,120.0,120.0,680.0,H,G,F,E,2.0,B,A,C,D,A,A,C,A,B,B,B,A,B,C,B,A,C,B,D,B,E,A
160000405108.0,2016.0,Teresina,PI,24.0,F,1.0,7.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,431.3,531.9,535.6,475.8,120.0,40.0,80.0,80.0,80.0,400.0,C,B,C,B,6.0,A,A,B,B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,E,DE
160000405109.0,2016.0,Goiânia,GO,18.0,M,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,471.9,603.5,526.0,433.1,160.0,120.0,120.0,120.0,80.0,600.0,B,B,B,B,4.0,C,A,B,B,A,A,B,A,A,A,B,A,A,B,A,A,B,B,B,B,E,DE
160000405110.0,2016.0,Belo Horizonte,MG,19.0,M,1.0,1.0,1.0,0.0,3.0,1.0,1.0,1.0,1.0,616.7,653.7,583.3,524.9,120.0,120.0,120.0,120.0,120.0,600.0,B,B,F,F,1.0,B,A,B,C,A,A,B,A,B,A,A,A,A,B,A,B,E,A,D,B,E,C2
160000405111.0,2016.0,Belo Horizonte,MG,28.0,F,1.0,10.0,1.0,0.0,3.0,1.0,1.0,1.0,1.0,601.3,561.6,570.9,559.3,140.0,140.0,120.0,140.0,80.0,620.0,E,F,D,D,3.0,F,A,D,D,A,A,B,B,B,A,B,A,A,B,A,B,C,A,A,A,E,B2
160000405112.0,2016.0,Catalão,GO,19.0,M,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,574.2,653.6,582.5,574.7,140.0,160.0,180.0,160.0,120.0,760.0,C,F,C,D,3.0,F,A,C,D,B,B,B,A,B,A,B,A,A,B,B,A,C,B,B,B,E,B1
160000405113.0,2016.0,Praia Grande,SP,20.0,M,1.0,3.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,646.0,663.5,637.2,645.9,160.0,160.0,160.0,180.0,140.0,800.0,E,D,D,D,4.0,N,D,C,C,D,A,C,C,B,B,B,A,B,C,B,B,D,B,C,B,D,A
160000405114.0,2016.0,Santa Maria,RS,18.0,M,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,512.3,559.2,465.1,417.7,100.0,120.0,80.0,80.0,40.0,420.0,E,E,D,B,5.0,C,A,B,C,A,A,B,A,A,A,A,A,A,B,B,A,D,A,B,A,E,C2
160000405115.0,2016.0,Barbacena,MG,18.0,F,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,559.8,594.8,603.5,583.3,140.0,160.0,140.0,120.0,100.0,660.0,E,D,D,F,5.0,C,A,C,D,B,A,B,B,A,A,A,A,B,B,B,B,E,B,C,B,E,B2
160000405117.0,2016.0,Contagem,MG,30.0,M,4.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,487.1,407.1,387.8,583.5,80.0,120.0,80.0,80.0,40.0,400.0,E,D,C,B,3.0,B,A,B,B,A,A,B,A,A,A,B,A,A,B,B,A,B,A,B,B,E,C1
160000405118.0,2016.0,Goiânia,GO,27.0,F,1.0,9.0,1.0,0.0,3.0,1.0,1.0,1.0,1.0,423.8,618.0,634.4,654.7,140.0,140.0,140.0,120.0,60.0,600.0,E,E,B,B,4.0,E,A,B,C,B,A,B,A,B,A,B,A,A,B,A,A,D,A,A,B,E,C1
160000405119.0,2016.0,Lauro de Freitas,BA,20.0,F,1.0,3.0,1.0,0.0,4.0,1.0,1.0,1.0,1.0,413.1,470.6,463.0,365.6,80.0,120.0,80.0,100.0,100.0,480.0,D,E,B,B,5.0,D,A,B,C,B,B,B,A,B,A,A,A,A,B,B,A,C,A,B,B,E,C1
160000405120.0,2016.0,Nova Era,MG,18.0,F,1.0,1.0,1.0,0.0,3.0,1.0,1.0,1.0,1.0,534.5,631.7,609.0,574.4,160.0,120.0,120.0,160.0,80.0,640.0,E,E,C,F,4.0,D,A,B,C,A,A,B,B,B,A,B,A,B,B,B,A,E,A,C,B,E,B2
160000405121.0,2016.0,Campina das Missões,RS,19.0,M,1.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,544.8,546.7,521.5,673.7,120.0,120.0,140.0,100.0,80.0,560.0,E,E,F,B,3.0,C,A,B,C,A,A,B,A,B,A,A,A,A,B,A,A,B,A,B,B,E,C1
160000405122.0,2016.0,Lorena,SP,20.0,F,1.0,3.0,1.0,0.0,3.0,1.0,1.0,1.0,1.0,678.4,748.9,656.1,641.9,200.0,200.0,200.0,200.0,200.0,1000.0,E,F,D,B,1.0,C,A,B,C,A,A,B,A,B,A,B,A,A,B,A,A,B,A,B,B,D,B2
160000405123.0,2016.0,Paraibuna,SP,17.0,F,2.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,468.2,540.1,512.9,463.3,120.0,120.0,120.0,120.0,40.0,520.0,E,E,F,C,5.0,C,A,B,D,B,A,B,A,B,A,A,A,A,B,A,A,B,A,B,B,E,C1
