NU_INSCRICAO,NU_ANO,NO_MUNICIPIO_RESIDENCIA,SG_UF_RESIDENCIA,NU_IDADE,TP_SEXO,TP_ST_CONCLUSAO,TP_ANO_CONCLUIU,TP_ESCOLA,TP_ESTADO_CIVIL,TP_COR_RACA,TP_PRESENCA_CN,TP_PRESENCA_CH,TP_PRESENCA_LC,TP_PRESENCA_MT,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_COMP1,NU_NOTA_COMP2,NU_NOTA_COMP3,NU_NOTA_COMP4,NU_NOTA_COMP5,NU_NOTA_REDACAO,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023,Q024,Q025,TP_SES_INCOME,TP_SES_POINTS
190001199383.0,2019.0,Palmas,TO,25.0,F,1.0,4.0,1.0,1,1.0,1.0,1.0,1.0,1.0,483.8,503.6,537.3,392.0,120.0,120.0,120.0,100.0,0.0,460.0,C,E,B,D,4.0,E,A,C,C,A,B,B,A,B,A,A,A,A,C,A,B,D,A,B,B,E,B2
190001237802.0,2019.0,Contagem,MG,22.0,F,1.0,4.0,1.0,1,1.0,1.0,1.0,1.0,1.0,513.6,575.5,570.7,677.0,160.0,120.0,180.0,200.0,200.0,860.0,E,E,C,C,3.0,G,A,C,D,B,A,B,B,B,A,B,A,A,B,A,A,C,B,B,B,D,B2
190001782198.0,2019.0,Rondonópolis,MT,37.0,M,1.0,13.0,1.0,2,2.0,1.0,1.0,1.0,1.0,563.7,644.9,564.2,675.3,160.0,200.0,180.0,180.0,80.0,800.0,B,B,C,B,7.0,E,A,B,D,A,C,B,A,B,A,B,A,A,B,A,A,E,A,B,B,E,C2
190001421548.0,2019.0,Paulo Afonso,BA,22.0,F,1.0,5.0,1.0,1,3.0,1.0,1.0,1.0,1.0,484.6,488.4,507.2,594.7,140.0,120.0,120.0,160.0,60.0,600.0,E,B,C,B,3.0,B,A,B,B,A,A,B,A,A,A,A,A,A,B,A,A,B,A,A,A,E,DE
190001592266.0,2019.0,São Paulo,SP,17.0,M,2.0,0.0,2.0,1,1.0,1.0,1.0,1.0,1.0,543.9,548.1,502.5,480.7,120.0,40.0,120.0,120.0,0.0,400.0,E,E,B,B,5.0,F,A,B,C,B,A,B,B,B,A,B,A,A,B,A,B,C,B,B,B,E,B2
190001475147.0,2019.0,Santa Maria,RN,19.0,M,1.0,1.0,1.0,1,4.0,1.0,1.0,1.0,1.0,518.2,351.7,417.6,459.0,120.0,120.0,120.0,120.0,20.0,500.0,B,C,C,A,4.0,C,A,C,D,A,A,B,B,A,A,B,A,A,B,B,A,D,A,B,B,E,C1
190001867756.0,2019.0,Araucária,PR,23.0,F,1.0,6.0,1.0,2,1.0,1.0,1.0,1.0,1.0,373.8,393.6,451.0,484.7,120.0,40.0,40.0,100.0,0.0,300.0,D,B,F,B,3.0,C,A,B,C,B,B,B,A,A,A,A,A,A,B,A,A,B,A,A,A,E,DE
190001133211.0,2019.0,Fortaleza,CE,21.0,F,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,458.9,441.6,413.0,399.0,80.0,40.0,40.0,80.0,0.0,240.0,E,E,E,B,4.0,D,A,B,C,A,A,B,A,A,A,A,A,A,B,A,A,C,A,A,A,E,DE
190001421547.0,2019.0,Guanambi,BA,19.0,M,3.0,0.0,1.0,1,3.0,1.0,1.0,1.0,1.0,390.1,453.0,515.2,461.5,100.0,120.0,100.0,140.0,60.0,520.0,C,C,A,A,4.0,C,A,B,D,A,A,B,A,A,A,A,A,A,B,A,A,B,A,A,A,E,DE
190001210202.0,2019.0,Itapecuru Mirim,MA,19.0,F,1.0,2.0,1.0,1,3.0,1.0,1.0,1.0,1.0,415.7,379.2,470.2,375.1,140.0,120.0,140.0,120.0,40.0,560.0,C,E,A,A,5.0,B,A,B,D,A,B,B,A,A,A,A,A,A,B,A,A,B,A,A,A,E,DE
190001421549.0,2019.0,Salvador,BA,27.0,F,1.0,2.0,1.0,2,3.0,1.0,1.0,1.0,1.0,461.9,585.0,552.1,437.3,140.0,120.0,140.0,120.0,140.0,660.0,B,B,A,B,4.0,G,A,B,C,B,A,B,A,A,A,A,A,A,B,A,A,C,B,B,B,E,DE
190002037437.0,2019.0,Brasília,DF,25.0,F,1.0,6.0,1.0,1,1.0,1.0,1.0,1.0,1.0,576.6,637.3,584.2,673.3,140.0,40.0,40.0,140.0,20.0,380.0,E,E,B,B,4.0,C,A,B,B,A,A,B,A,A,A,A,A,A,B,A,A,B,A,A,A,E,DE
190001421550.0,2019.0,Salvador,BA,21.0,M,1.0,4.0,1.0,1,3.0,1.0,1.0,1.0,1.0,455.4,568.9,579.2,524.2,120.0,120.0,100.0,120.0,40.0,500.0,C,D,D,D,4.0,C,A,B,D,B,B,B,A,A,A,B,A,B,D,B,A,E,A,B,B,E,C1
190001237804.0,2019.0,Esmeraldas,MG,27.0,M,1.0,2.0,1.0,1,3.0,1.0,1.0,1.0,1.0,394.3,494.1,479.5,397.5,140.0,140.0,120.0,120.0,80.0,600.0,H,H,F,F,2.0,B,A,B,C,A,A,B,A,B,A,A,A,A,B,A,B,C,A,A,A,E,DE
190001867757.0,2019.0,Apucarana,PR,17.0,F,2.0,0.0,3.0,1,1.0,1.0,1.0,1.0,1.0,618.2,744.7,636.3,713.7,160.0,200.0,200.0,180.0,160.0,900.0,E,E,B,B,2.0,E,A,B,C,B,A,B,B,B,A,B,A,B,B,B,A,C,B,B,B,D,B2
190001184600.0,2019.0,Macapá,AP,19.0,M,1.0,1.0,1.0,1,3.0,1.0,1.0,1.0,1.0,465.2,513.8,489.9,547.2,120.0,120.0,80.0,100.0,100.0,520.0,H,H,B,A,3.0,B,A,B,B,A,A,B,A,A,A,A,A,A,B,A,A,B,A,A,A,E,DE
190001692704.0,2019.0,Alvorada,RS,18.0,F,2.0,0.0,2.0,1,1.0,1.0,1.0,1.0,1.0,430.4,466.8,515.9,394.1,160.0,140.0,120.0,120.0,40.0,580.0,E,B,B,B,3.0,A,A,B,D,A,A,B,B,B,A,A,A,A,B,B,A,D,A,B,A,E,C2
190001595660.0,2019.0,Itaquaquecetuba,SP,17.0,F,2.0,0.0,2.0,1,2.0,1.0,1.0,1.0,1.0,371.8,501.4,518.6,442.0,140.0,120.0,120.0,140.0,140.0,660.0,E,F,B,D,3.0,B,A,B,C,A,A,B,B,A,A,A,A,A,A,A,A,D,A,A,B,E,C1
190001237805.0,2019.0,Conselheiro Lafaiete,MG,22.0,F,1.0,5.0,1.0,1,1.0,1.0,1.0,1.0,1.0,560.0,592.0,591.1,695.1,120.0,120.0,120.0,120.0,60.0,540.0,E,C,C,B,4.0,G,A,B,D,B,B,B,A,B,A,B,A,B,C,B,A,E,A,B,B,E,B2
190001421552.0,2019.0,Lauro de Freitas,BA,17.0,M,2.0,0.0,2.0,1,2.0,1.0,1.0,1.0,1.0,567.3,584.1,595.8,704.5,140.0,120.0,140.0,120.0,100.0,620.0,E,C,B,B,2.0,B,A,B,C,A,A,B,B,A,A,A,A,A,B,A,A,C,A,A,B,E,C2
190001867759.0,2019.0,Fazenda Rio Grande,PR,44.0,F,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,494.1,568.8,546.4,565.9,140.0,120.0,120.0,120.0,160.0,660.0,B,D,B,B,4.0,E,A,B,D,A,A,B,A,B,A,A,A,A,B,A,A,D,B,B,B,E,C2
190001237806.0,2019.0,São Joaquim de Bicas,MG,23.0,F,1.0,5.0,1.0,1,4.0,1.0,1.0,1.0,1.0,504.2,554.6,519.7,462.4,120.0,120.0,120.0,120.0,100.0,580.0,B,B,C,B,3.0,C,A,B,C,B,A,B,A,A,A,B,A,A,B,B,A,C,A,B,B,E,C2
190001595662.0,2019.0,Taboão da Serra,SP,22.0,F,4.0,0.0,1.0,1,2.0,1.0,1.0,1.0,1.0,478.1,455.7,530.5,432.1,120.0,40.0,40.0,100.0,0.0,300.0,C,D,C,B,3.0,B,A,B,A,A,B,B,A,A,A,A,A,A,B,A,A,C,A,A,A,E,DE
190001421553.0,2019.0,Salvador,BA,22.0,F,1.0,4.0,1.0,1,2.0,1.0,1.0,1.0,1.0,427.3,508.5,534.7,516.3,120.0,120.0,120.0,120.0,160.0,640.0,D,C,C,B,7.0,C,A,B,C,A,A,B,A,A,A,A,A,A,B,A,A,C,A,A,B,E,DE
190001493188.0,2019.0,Recife,PE,22.0,M,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,532.2,533.8,558.1,509.8,100.0,140.0,120.0,120.0,160.0,640.0,C,D,C,B,6.0,E,A,B,D,A,A,B,A,B,A,B,A,B,B,B,A,A,B,B,B,E,C2
190001421555.0,2019.0,Alagoinhas,BA,19.0,M,3.0,0.0,1.0,1,3.0,1.0,1.0,1.0,1.0,421.1,469.9,435.6,527.4,0.0,0.0,0.0,0.0,0.0,0.0,E,E,B,B,5.0,B,A,B,C,A,A,B,A,A,A,A,A,A,B,A,A,B,A,A,A,E,DE
