NU_INSCRICAO,NU_ANO,NO_MUNICIPIO_RESIDENCIA,SG_UF_RESIDENCIA,NU_IDADE,TP_SEXO,TP_ST_CONCLUSAO,TP_ANO_CONCLUIU,TP_ESCOLA,TP_ESTADO_CIVIL,TP_COR_RACA,TP_PRESENCA_CN,TP_PRESENCA_CH,TP_PRESENCA_LC,TP_PRESENCA_MT,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_COMP1,NU_NOTA_COMP2,NU_NOTA_COMP3,NU_NOTA_COMP4,NU_NOTA_COMP5,NU_NOTA_REDACAO,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023,Q024,Q025,TP_SES_INCOME,TP_SES_POINTS
150000000376.0,2015.0,Gravataí,RS,42.0,M,1.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,657.4,705.3,591.1,732.3,160,160,120,160,160,760.0,A,A,A,A,3.0,D,A,B,B,A,A,B,A,B,A,B,A,A,B,A,A,B,B,B,B,E,C2
150000001161.0,2015.0,Olinda,PE,22.0,M,4.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,528.5,531.1,511.3,566.5,120,120,120,140,140,640.0,E,C,D,B,3.0,B,A,B,C,A,A,B,A,A,A,A,A,A,A,A,A,C,B,B,A,E,DE
150000001219.0,2015.0,Teófilo Otoni,MG,18.0,M,1.0,2.0,1.0,0.0,3.0,1.0,1.0,1.0,1.0,679.9,730.6,621.2,732.4,160,160,160,180,140,800.0,B,C,C,A,5.0,G,A,B,C,B,B,B,A,B,A,A,A,B,B,A,A,C,B,B,B,E,C2
150000002884.0,2015.0,Canelinha,SC,19.0,M,1.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,598.7,658.0,579.0,576.4,120,80,100,120,60,480.0,D,C,B,F,4.0,F,A,D,C,B,A,B,B,B,A,B,A,B,D,A,B,D,B,C,B,E,B1
150000002510.0,2015.0,Guarulhos,SP,17.0,F,2.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,652.1,671.9,609.3,685.5,180,160,160,160,160,820.0,F,F,E,E,3.0,J,A,B,C,B,A,B,B,B,B,B,A,B,C,B,B,D,B,C,B,D,B1
150000000658.0,2015.0,Rosário,MA,26.0,M,1.0,10.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,381.6,589.3,534.2,584.1,120,120,80,120,80,520.0,D,E,A,D,7.0,E,A,B,D,A,A,B,B,B,A,A,A,A,C,B,A,E,B,B,A,E,C1
150000000216.0,2015.0,São Leopoldo,RS,29.0,F,1.0,10.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,607.5,606.1,573.2,701.1,140,100,120,120,20,500.0,E,D,C,B,2.0,E,A,B,C,B,A,B,B,B,A,B,A,B,C,B,A,B,B,B,B,D,B2
150000000274.0,2015.0,São José dos Pinhais,PR,25.0,M,3.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,521.2,523.3,496.7,455.8,120,120,120,120,80,560.0,E,E,A,D,2.0,G,A,C,D,B,A,B,A,B,A,B,A,A,B,A,B,C,B,B,B,D,B2
150000000217.0,2015.0,São Paulo,SP,25.0,M,1.0,9.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,477.3,553.3,523.9,429.5,120,120,80,80,40,440.0,H,E,A,A,6.0,D,A,B,B,A,A,B,A,A,A,A,A,A,B,B,A,E,B,B,B,E,C2
150000000164.0,2015.0,Santo Antônio de Pádua,RJ,20.0,F,1.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,452.2,624.5,596.8,405.1,120,120,100,100,100,540.0,C,E,C,B,3.0,D,A,B,C,A,A,B,A,B,A,A,A,A,B,A,A,B,A,B,B,E,C1
