NU_INSCRICAO,NU_ANO,NO_MUNICIPIO_RESIDENCIA,SG_UF_RESIDENCIA,NU_IDADE,TP_SEXO,TP_ST_CONCLUSAO,TP_ANO_CONCLUIU,TP_ESCOLA,TP_ESTADO_CIVIL,TP_COR_RACA,TP_PRESENCA_CN,TP_PRESENCA_CH,TP_PRESENCA_LC,TP_PRESENCA_MT,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_COMP1,NU_NOTA_COMP2,NU_NOTA_COMP3,NU_NOTA_COMP4,NU_NOTA_COMP5,NU_NOTA_REDACAO,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023,Q024,Q025,TP_SES_INCOME,TP_SES_POINTS
170003336736.0,2017.0,Araraquara,SP,29.0,F,1.0,11.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,445.4,589.0,621.5,465.5,140.0,120.0,120.0,100.0,80.0,560.0,E,D,C,B,3.0,D,A,B,C,A,B,B,A,C,A,B,A,A,C,B,B,C,B,B,B,E,B2
170001663645.0,2017.0,Lages,SC,35.0,F,1.0,6.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,604.0,610.4,563.9,591.2,140.0,120.0,140.0,100.0,80.0,580.0,E,D,B,B,4.0,D,A,B,D,B,A,B,A,B,A,B,A,B,C,A,B,D,A,B,B,E,B2
170001663646.0,2017.0,Maceió,AL,40.0,M,1.0,11.0,1.0,0.0,3.0,1.0,1.0,1.0,1.0,482.1,569.2,570.8,584.6,140.0,120.0,120.0,120.0,80.0,580.0,A,B,B,F,3.0,C,A,B,B,A,B,B,A,A,A,A,A,A,B,B,A,C,A,C,B,E,C2
170001663647.0,2017.0,Cachoeirinha,RS,20.0,F,1.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,558.8,594.9,522.8,578.5,120.0,120.0,120.0,120.0,60.0,540.0,F,F,B,B,3.0,J,A,B,C,B,A,B,B,B,A,B,A,B,D,B,A,D,A,C,B,D,B1
170003334115.0,2017.0,Curitiba,PR,36.0,M,1.0,11.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,625.9,636.8,588.3,607.5,100.0,100.0,80.0,80.0,40.0,400.0,C,D,B,B,2.0,D,A,B,B,B,A,B,A,B,A,B,A,B,B,A,A,C,A,B,B,E,C1
170001669940.0,2017.0,Jaboatão dos Guararapes,PE,23.0,M,1.0,3.0,1.0,0.0,3.0,1.0,1.0,1.0,1.0,533.8,427.6,320.7,479.0,80.0,100.0,80.0,60.0,0.0,320.0,A,E,A,A,3.0,B,B,B,C,A,A,B,A,B,A,B,A,A,B,B,A,D,B,B,B,E,C1
170001668485.0,2017.0,Salvador,BA,26.0,F,1.0,7.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,613.2,616.7,623.1,656.5,140.0,120.0,120.0,120.0,60.0,560.0,G,F,D,B,6.0,J,A,D,D,B,B,B,B,B,B,B,A,A,D,A,B,E,B,E,B,D,A
170001665201.0,2017.0,Nova Xavantina,MT,23.0,F,1.0,5.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,445.7,458.0,462.5,430.1,100.0,120.0,100.0,80.0,20.0,420.0,B,E,B,D,1.0,B,A,B,D,A,A,B,A,B,B,B,B,A,B,A,A,B,A,B,B,E,B2
170001665202.0,2017.0,Itarema,CE,24.0,M,1.0,7.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,501.8,566.6,544.9,645.1,160.0,120.0,120.0,120.0,100.0,620.0,B,E,A,F,5.0,E,A,C,D,A,B,B,A,A,A,A,A,A,C,A,A,E,B,B,B,E,C1
170001665203.0,2017.0,Fortaleza,CE,24.0,M,1.0,3.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,462.5,523.6,571.5,517.6,160.0,120.0,120.0,140.0,80.0,620.0,B,B,C,B,5.0,C,A,B,B,A,A,B,A,A,A,A,A,A,B,A,A,A,A,B,B,E,DE
