NU_INSCRICAO,NU_ANO,NO_MUNICIPIO_RESIDENCIA,SG_UF_RESIDENCIA,NU_IDADE,TP_SEXO,TP_ST_CONCLUSAO,TP_ANO_CONCLUIU,TP_ESCOLA,TP_ESTADO_CIVIL,TP_COR_RACA,TP_PRESENCA_CN,TP_PRESENCA_CH,TP_PRESENCA_LC,TP_PRESENCA_MT,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_COMP1,NU_NOTA_COMP2,NU_NOTA_COMP3,NU_NOTA_COMP4,NU_NOTA_COMP5,NU_NOTA_REDACAO,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023,Q024,Q025,TP_SES_INCOME,TP_SES_POINTS
180007197856.0,2018.0,São João dos Patos,MA,23.0,F,1.0,5.0,1.0,0.0,3.0,1.0,1.0,1.0,1.0,521.0,568.7,513.1,480.3,120.0,40.0,40.0,60.0,20.0,280.0,B,B,A,A,4.0,B,A,B,C,A,A,B,A,A,A,A,A,A,B,A,A,B,A,A,A,E,DE
180007239581.0,2018.0,João Pessoa,PB,23.0,F,1.0,5.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,461.8,564.0,466.8,538.8,120.0,120.0,120.0,120.0,100.0,580.0,C,D,C,B,1.0,B,A,B,C,A,A,B,A,B,A,B,A,A,B,A,A,B,A,B,B,E,C2
180008090447.0,2018.0,Parnaíba,PI,39.0,M,1.0,12.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,499.3,663.2,605.2,733.8,160.0,120.0,160.0,160.0,80.0,680.0,A,E,A,D,4.0,H,A,B,C,A,A,B,A,A,A,A,A,A,C,B,A,B,A,B,B,D,C1
180008257068.0,2018.0,Fortaleza,CE,19.0,M,2.0,0.0,2.0,0.0,3.0,1.0,1.0,1.0,1.0,411.8,429.8,445.2,459.0,120.0,40.0,40.0,100.0,40.0,340.0,D,D,C,B,7.0,C,A,B,C,A,A,B,A,B,A,A,A,A,B,B,A,B,A,A,A,E,DE
180008202044.0,2018.0,Cuiabá,MT,25.0,F,1.0,9.0,1.0,0.0,3.0,1.0,1.0,1.0,1.0,469.4,650.2,606.6,525.4,140.0,180.0,160.0,160.0,100.0,740.0,C,C,C,B,1.0,C,A,B,B,A,A,B,A,A,A,A,A,A,B,A,A,B,A,A,A,D,DE
180008948206.0,2018.0,Gurupi,TO,18.0,F,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,467.4,640.5,516.7,642.3,120.0,120.0,120.0,180.0,100.0,640.0,E,E,B,B,5.0,B,A,C,D,A,B,B,A,B,A,A,A,A,B,A,A,D,A,A,A,E,C2
180008787988.0,2018.0,São Paulo,SP,23.0,M,1.0,6.0,1.0,0.0,3.0,1.0,1.0,1.0,1.0,625.5,652.2,616.3,622.0,160.0,200.0,200.0,140.0,140.0,840.0,E,E,C,B,4.0,E,A,B,C,A,A,B,B,B,A,B,A,A,A,A,A,C,B,C,B,E,B2
180007766857.0,2018.0,Camocim,CE,18.0,M,2.0,0.0,2.0,0.0,3.0,1.0,1.0,1.0,1.0,478.5,513.3,564.7,514.9,120.0,120.0,120.0,120.0,100.0,580.0,C,C,F,B,5.0,B,A,B,C,A,A,B,A,A,A,A,A,A,C,B,B,C,A,A,A,E,DE
180009379462.0,2018.0,Itaúna,MG,21.0,F,1.0,4.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,521.8,598.9,584.6,530.4,140.0,120.0,160.0,120.0,40.0,580.0,C,C,C,F,3.0,E,A,B,C,B,B,B,B,B,B,B,A,A,C,B,A,D,A,B,B,E,B2
180008257069.0,2018.0,Brasília,DF,20.0,M,1.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,397.7,612.0,455.0,503.3,120.0,40.0,40.0,120.0,40.0,360.0,E,E,B,B,4.0,C,A,B,B,B,A,B,B,B,B,B,A,A,D,B,B,E,A,A,B,E,B2
180008202045.0,2018.0,São Paulo,SP,27.0,F,1.0,10.0,1.0,0.0,3.0,1.0,1.0,1.0,1.0,501.5,540.6,531.5,595.3,120.0,100.0,80.0,80.0,0.0,380.0,E,C,F,B,3.0,F,A,B,B,A,A,B,B,B,A,B,A,A,C,A,A,D,A,B,B,E,C1
180008411103.0,2018.0,Natal,RN,37.0,F,1.0,12.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,453.6,678.9,598.1,391.4,140.0,140.0,120.0,140.0,120.0,660.0,D,A,B,B,1.0,C,A,B,B,A,A,B,A,A,A,A,A,A,B,A,A,B,A,A,A,D,DE
180008196151.0,2018.0,Belo Horizonte,MG,29.0,M,1.0,1.0,1.0,0.0,3.0,1.0,1.0,1.0,1.0,527.4,641.9,612.3,479.9,120.0,120.0,120.0,120.0,80.0,560.0,E,E,B,B,3.0,E,A,B,C,A,B,B,A,B,A,B,A,A,C,A,A,D,B,B,B,E,C1
180008309625.0,2018.0,Teresina,PI,19.0,M,1.0,2.0,1.0,0.0,3.0,1.0,1.0,1.0,1.0,397.5,608.3,560.5,502.1,100.0,40.0,40.0,120.0,40.0,340.0,E,F,F,F,3.0,C,A,B,C,A,B,B,B,A,A,B,A,A,B,B,A,D,A,B,A,E,B2
180008895630.0,2018.0,Lagoa Seca,PB,18.0,F,2.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,479.4,539.0,553.8,517.3,160.0,120.0,140.0,120.0,80.0,620.0,H,E,F,B,7.0,B,A,B,C,A,A,B,A,A,A,A,A,A,B,A,A,D,A,A,B,E,C2
180008257070.0,2018.0,São Bernardo do Campo,SP,19.0,F,1.0,2.0,1.0,0.0,5.0,1.0,1.0,1.0,1.0,510.7,562.4,505.0,524.0,120.0,120.0,120.0,100.0,100.0,560.0,C,D,B,F,4.0,C,A,B,C,B,A,B,A,A,A,B,A,A,B,A,A,D,A,B,A,E,C2
180008202046.0,2018.0,Getúlio Vargas,RS,24.0,F,1.0,7.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,514.7,576.6,512.2,500.7,120.0,120.0,100.0,100.0,100.0,540.0,C,D,C,B,4.0,H,A,B,C,B,A,B,B,B,A,B,A,A,B,B,A,B,A,C,B,D,B2
180008411104.0,2018.0,Teresina,PI,54.0,F,2.0,0.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,429.8,586.7,450.3,473.3,80.0,40.0,40.0,100.0,40.0,300.0,B,A,A,A,5.0,B,A,B,C,A,A,B,A,A,A,A,A,A,B,B,A,B,A,A,A,E,DE
180008196152.0,2018.0,Guarulhos,SP,16.0,F,3.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,433.9,618.2,635.2,432.3,120.0,120.0,80.0,100.0,80.0,500.0,C,C,A,B,4.0,H,D,B,C,C,A,B,B,B,B,B,A,B,C,B,B,E,B,B,B,D,B2
180008787990.0,2018.0,Fortaleza,CE,19.0,M,1.0,1.0,1.0,0.0,3.0,1.0,1.0,1.0,1.0,591.1,684.9,611.3,671.5,120.0,120.0,120.0,100.0,120.0,580.0,D,D,C,B,2.0,C,A,B,B,A,B,B,A,B,A,A,A,A,B,B,A,C,A,B,B,E,C2
180008257071.0,2018.0,Maringá,PR,18.0,M,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,474.5,497.7,476.9,664.7,100.0,40.0,40.0,120.0,40.0,340.0,B,D,C,B,3.0,C,A,B,C,B,A,B,B,B,A,B,A,B,B,B,A,D,A,B,B,E,C1
180008411105.0,2018.0,Presidente Bernardes,SP,32.0,F,1.0,12.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,554.6,626.3,560.6,445.8,140.0,120.0,140.0,120.0,100.0,620.0,C,E,C,B,3.0,E,A,B,D,B,B,B,A,B,B,B,A,B,C,B,A,D,B,B,B,E,B2
180007286708.0,2018.0,Araçatuba,SP,17.0,F,2.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,390.0,524.1,492.5,462.0,120.0,120.0,100.0,120.0,40.0,500.0,D,E,C,B,3.0,C,A,B,C,B,B,B,B,B,A,A,A,B,B,B,A,D,B,B,B,E,B2
180008196153.0,2018.0,Bom Jesus da Lapa,BA,23.0,F,1.0,6.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,523.0,635.4,616.7,614.4,160.0,140.0,140.0,140.0,80.0,660.0,E,E,B,C,3.0,D,A,B,C,A,B,B,A,A,A,A,A,A,B,A,A,E,A,B,B,E,C2
180008787991.0,2018.0,Campo Grande,MS,18.0,F,2.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,537.7,629.0,601.9,518.6,140.0,180.0,160.0,180.0,140.0,800.0,D,E,C,C,3.0,E,A,B,C,A,A,B,B,A,A,B,A,A,B,A,A,C,A,A,B,E,C2
180008309627.0,2018.0,Fortaleza,CE,28.0,M,1.0,10.0,1.0,0.0,3.0,1.0,1.0,1.0,1.0,456.3,662.8,550.5,734.3,160.0,140.0,140.0,180.0,180.0,800.0,B,E,D,B,7.0,E,A,B,D,A,B,B,A,A,A,A,A,A,B,A,A,E,A,B,B,E,C2
180008411476.0,2018.0,Caicó,RN,20.0,F,1.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,390.5,542.6,446.7,453.8,120.0,120.0,120.0,120.0,100.0,580.0,E,E,B,B,4.0,C,A,B,C,B,A,B,A,A,A,A,A,A,B,A,A,B,A,A,B,E,C2
180007766860.0,2018.0,Campo Grande,MS,19.0,M,1.0,1.0,1.0,0.0,4.0,1.0,1.0,1.0,1.0,437.8,497.4,464.2,582.2,120.0,40.0,40.0,120.0,40.0,360.0,B,B,B,B,5.0,C,A,B,C,A,A,B,A,B,A,B,A,A,B,A,A,C,A,A,B,E,DE
180008257072.0,2018.0,Rio de Janeiro,RJ,19.0,F,1.0,2.0,1.0,0.0,3.0,1.0,1.0,1.0,1.0,489.3,601.8,587.8,524.8,160.0,120.0,140.0,160.0,0.0,580.0,D,D,C,C,5.0,D,A,B,C,B,A,B,B,B,A,B,A,A,C,A,B,E,A,A,B,E,C1
180007286709.0,2018.0,Camaragibe,PE,21.0,M,1.0,5.0,1.0,0.0,3.0,1.0,1.0,1.0,1.0,587.5,633.2,545.4,644.1,160.0,200.0,180.0,200.0,180.0,920.0,D,D,D,C,2.0,B,A,B,C,A,A,B,A,A,A,A,A,A,B,A,A,C,A,B,B,E,C2
180008196154.0,2018.0,Candeias,BA,31.0,F,1.0,12.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,425.4,618.7,492.6,409.9,100.0,100.0,100.0,100.0,0.0,400.0,E,E,C,B,3.0,D,A,C,C,B,A,B,B,B,A,A,A,A,A,A,A,C,A,A,B,E,C1
180008787992.0,2018.0,Baixo Guandu,ES,17.0,M,2.0,0.0,2.0,0.0,2.0,1.0,1.0,1.0,1.0,383.1,456.7,494.0,388.1,120.0,120.0,120.0,120.0,80.0,560.0,C,D,C,B,7.0,B,A,B,C,A,A,B,A,B,A,A,A,A,B,A,A,B,A,A,B,E,DE
